Date,Open,High,Low,Close,Volume
2023-01-02,188.08938766231074,188.52012379688978,186.89289028532403,188.11331176757812,5559512
2023-01-03,188.11331413367935,190.3627350729801,187.46721722652458,190.0277099609375,5994422
2023-01-04,190.24309115961313,190.24309115961313,185.98356323465998,186.51002502441406,8926522
2023-01-05,186.6535968504029,187.70652041849823,183.66235331113361,185.16993713378906,9568980
2023-01-06,185.21779332984806,186.07926559608666,182.53763629334458,182.82479858398438,8484754
2023-01-09,184.73919239176033,188.08938499990106,184.30845626327837,187.5150604248047,7347432
2023-01-10,187.61078871151608,188.52012379688978,185.38530651145697,188.11331176757812,7879496
2023-01-11,188.08940375619196,189.52520073143006,187.3715052685729,188.4962158203125,7656600
2023-01-12,189.405545475214,190.4345303564067,186.89290084161988,188.8072967529297,9510500
2023-01-13,189.52518707415135,189.81234936964236,184.97849698020076,188.52012634277344,13621860
2023-01-16,186.6535925719634,191.9181810804034,186.17499361665068,190.76954650878906,23867444
2023-01-17,191.46351065927888,192.42070859204506,188.44834301333802,189.6927032470703,14310032
2023-01-18,190.7216789768861,193.28218624564167,190.48237950514599,192.97109985351562,16080426
2023-01-19,192.4446606389557,193.3539958169584,190.841351069337,193.06683349609375,9447456
2023-01-20,193.1386107413497,194.02402176725545,192.06176304635986,192.94717407226562,9265614
2023-01-23,193.9283073643424,195.1487288885093,192.6360843105457,194.78977966308594,8815290
2023-01-24,195.94124614126167,196.80485494664046,194.3819683266775,195.07765197753906,9552640
2023-01-25,194.30999377564507,194.7417908334821,191.91110496360005,192.65475463867188,6355554
2023-01-27,192.65477779014685,193.6383311062729,189.12842252600012,190.97555541992188,7410134
2023-01-30,190.97554327197247,194.21404335140542,189.53620990333562,192.99061584472656,7261256
2023-01-31,193.01459959509216,193.13454404292446,190.8076334683026,191.359375,9566846
2023-02-01,192.63077921904576,193.78224296599655,191.11948213606937,193.0625762939453,7029896
2023-02-02,193.06258036799642,196.70889451166585,193.06258036799642,196.4450225830078,10835460
2023-02-03,197.93233417836765,198.1482400544603,194.86175905258636,195.7013702392578,8850236
2023-02-06,194.50190791780406,194.88573892449688,192.67875822139456,194.14207458496094,5958022
2023-02-07,194.54988987764318,194.54988987764318,191.45531733858675,192.1510009765625,6683580
2023-02-08,192.39089018593702,195.55742646894947,192.39089018593702,195.1496124267578,8300976
2023-02-09,195.1496302574434,196.2051473287747,193.61433536126282,195.89328002929688,5277374
2023-02-10,195.26957163486537,195.26957163486537,193.2544989456069,194.69383239746094,5160140
2023-02-13,194.62186190477692,194.62186190477692,191.5273038755873,192.19898986816406,4825356
2023-02-14,193.35045015875392,195.0056893976688,192.6307834708181,194.3579864501953,4638822
2023-02-15,193.20652469684774,195.67737742291666,192.07904394563482,195.4614715576172,5227672
2023-02-16,196.1331454581883,198.26816237979932,196.01320101633723,196.66090393066406,11189362
2023-02-17,195.19758711794177,195.74932862077216,193.83021755586265,194.93370056152344,5616244
2023-02-20,194.4539374298973,195.65338193573595,192.96663795598266,195.29354858398438,6497188
2023-02-21,195.46146299745737,195.74933259136407,192.9186466415358,193.23049926757812,5761172
2023-02-22,191.671234392226,192.0790484575621,189.24836231727232,189.58419799804688,6883372
2023-02-23,189.89604583737867,191.28741315937663,188.74458205508412,189.0084686279297,6078322
2023-02-24,189.96803242495832,190.2319043675443,188.33677613445832,188.6966094970703,5106634
2023-02-27,188.4327290387788,188.69660096943983,184.93035699096498,187.28126525878906,5554710
2023-02-28,188.00094035140668,188.64864333210798,185.05030970783068,185.697998046875,10061602
2023-03-01,186.20176790903096,187.95295395823007,185.81793688238653,187.5691375732422,4542612
2023-03-02,186.4896474526462,187.28127793988813,185.81794678065202,186.1777801513672,4438972
2023-03-03,187.40120262982242,187.8090166686151,186.6815359643021,187.32923889160156,4393936
2023-03-06,188.28881603732705,190.30387414686382,188.12089086778462,188.9125213623047,6727722
2023-03-08,187.90496879199497,188.55267173774598,186.56159683474988,188.3607635498047,4908842
2023-03-09,188.45670714597702,188.96048260269353,186.92142702667212,187.16131591796875,4157054
2023-03-10,186.10580984276115,187.06536546416405,185.482104545512,186.68154907226562,4567396
2023-03-13,186.63354882091863,188.360751686924,184.11471557847693,184.9303436279297,5982520
2023-03-14,185.4581075321612,185.74597714794126,181.04416044294192,182.05169677734375,8094852
2023-03-15,184.0907593837884,184.0907593837884,179.86870569121328,180.27651977539062,7687926
2023-03-16,180.08460689840757,180.73230988098064,177.51779264400741,178.88516235351562,7686620
2023-03-17,180.97217230155945,181.52391378312146,179.36491391832283,180.63632202148438,9044282
2023-03-20,179.9166799035573,180.3724746826424,175.19086551642582,176.15042114257812,8184754
2023-03-21,177.03801362546585,177.6377358938448,175.3348082399324,175.79058837890625,7211152
2023-03-22,176.4862720668886,177.51779144016902,175.5267164374823,175.79058837890625,5374846
2023-03-23,175.07090826492555,175.07090826492555,172.8879252316747,173.43966674804688,9485192
2023-03-24,174.3272634836592,176.00648575404216,173.1997827452137,173.5596160888672,7906696
2023-03-27,173.5596062894511,174.6391062594615,172.33617884676812,173.31971740722656,6227714
2023-03-28,174.15934917368648,174.66311002950948,170.51303480260017,170.89686584472656,7813096
2023-03-29,171.76046033479668,173.07984934574833,170.32112686830396,172.26422119140625,8823840
2023-03-31,174.32727091076728,175.47873473118463,173.343717611217,175.2388458251953,7914212
2023-04-03,176.53424072265625,176.7501319395371,175.19085414822177,176.53424072265625,4053500
2023-04-05,177.37385937377326,178.4293617538798,176.17441486797728,177.39784240722656,6443110
2023-04-06,177.03801854393402,177.73370225124387,175.52672131396363,175.91053771972656,6429614
2023-04-10,176.5582272630138,179.62880220012627,176.3663190747548,179.10104370117188,5624940
2023-04-11,179.19700363952515,179.84470658101128,176.8460954089978,177.63772583007812,6784354
2023-04-12,177.80565143159222,179.17302105780337,177.20592919567997,178.54930114746094,5578210
2023-04-13,177.46981112987356,177.46981112987356,175.59868057665048,176.70216369628906,6724634
2023-04-17,172.6960355248832,173.65559118354813,168.88179592502718,173.3677215576172,13603290
2023-04-18,174.3752665044903,176.9900470179702,172.36019366551622,176.51026916503906,8024898
2023-04-19,176.5102460386132,176.5102460386132,172.91191261308427,173.10382080078125,7475944
2023-04-20,172.95990626557787,174.49520116537488,172.24023952660875,174.08738708496094,4423266
2023-04-21,174.68710082056617,176.89408164042254,174.47119495277607,176.58221435546875,5299988
2023-04-24,179.91666569772653,181.64386861675584,177.7816487414512,181.33201599121094,17779044
2023-04-25,181.4519730807914,181.78780876183882,179.48488113707418,180.22853088378906,7528552
2023-04-26,181.18808930458417,181.18808930458417,179.14903358635328,179.70077514648438,7008146
2023-04-27,180.58835500667533,180.68431642015761,178.50131871751182,179.62879943847656,8491700
2023-04-28,182.31557315975041,186.15379575258726,182.31557315975041,184.71446228027344,27709406
2023-05-02,186.63356895821312,188.14486613841228,185.8899192059164,186.32171630859375,9746608
2023-05-03,186.3216983941291,186.3216983941291,183.29908968269183,184.76242065429688,4828488
2023-05-04,184.59450484177228,185.26619081994784,183.77887674149443,184.0907440185547,6253358
2023-05-05,183.63493786970088,184.42656824636003,181.83577126745038,182.02767944335938,7902194
2023-05-08,182.79534263332474,183.75489823769917,182.12365663859399,182.48348999023438,9613544
2023-05-09,183.51501354332322,183.97080832251189,182.33955204435682,183.41905212402344,5716698
2023-05-10,184.23469055374593,184.49856250907388,183.2751348737785,184.11474609375,3670402
2023-05-11,185.0502995124891,185.60204104281536,183.80287432980177,184.54652404785156,4049964
2023-05-12,184.52255039003333,184.8344030411354,183.0592192707745,183.87484741210938,4580358
2023-05-15,183.8748504876009,185.67401732211752,183.51501712069756,185.0742950439453,5089694
2023-05-16,185.91389634576169,186.53760162522684,185.43411854874034,185.6500244140625,4059352
2023-05-17,185.29019730877107,185.84193886560263,182.9632719864917,183.41905212402344,5376102
2023-05-18,184.81041348328122,184.88237722458646,183.39506312376682,183.56298828125,4237016
2023-05-19,184.61849101911824,186.2497472474581,183.99478573768695,185.29019165039062,7281582
2023-05-22,185.43412552313646,190.27988438363778,184.9063669982321,189.8720703125,12197390
