Date,Open,High,Low,Close,Volume
2023-01-02,2985.6971658367956,2991.0533817190812,2962.075230030422,2986.109130859375,709547
2023-01-03,2977.4567952170896,3039.716039397521,2971.322473216991,3031.79638671875,1245178
2023-01-04,3027.5388335177267,3046.4456352603884,3008.7695024615123,3034.817626953125,1231668
2023-01-05,3049.054525511192,3055.55521171856,3004.877934611854,3031.567138671875,1826057
2023-01-06,3021.4041284247096,3022.823317493969,2929.846427563355,2940.42138671875,2488376
2023-01-09,2956.3984729950294,3046.1250293138623,2949.211103306643,3039.670166015625,2885060
2023-01-10,3007.6709181289425,3019.5734210012947,2957.4058223336865,3008.95263671875,3864655
2023-01-11,3012.3404964497886,3066.7256902141685,2994.9901304848922,3047.681640625,2720512
2023-01-12,3047.956309200997,3067.1834292049684,3035.64184133294,3052.854736328125,2250391
2023-01-13,3060.6824961643642,3093.7349177845394,3025.982214642765,3089.66064453125,1742837
2023-01-16,3106.0005951113,3139.7105804667435,3088.2560790976813,3121.966064453125,1843607
2023-01-17,3118.173760287488,3166.678731169611,3109.7462636380624,3163.494873046875,1688475
2023-01-18,3164.9935356747787,3192.1019405023185,3157.736523869607,3174.357421875,2421189
2023-01-19,3164.993460583786,3171.5481807684273,3147.202077225475,3158.532470703125,1585044
2023-01-20,3150.947503850745,3178.7113332057097,3142.1455428324743,3149.16845703125,1529349
2023-01-23,3172.4845779389066,3201.5126245493275,3142.1456787322145,3197.67333984375,1067916
2023-01-24,3207.130678074058,3232.366302942939,3199.9205321987315,3217.7119140625,1387863
2023-01-25,3207.4114861528487,3216.4944086297974,3188.4027544059563,3211.578369140625,874110
2023-01-27,3208.067323133592,3226.7950950141144,3167.147187296748,3194.068359375,1785879
2023-01-30,3202.449099595214,3238.453196527919,3170.1905571649595,3215.230712890625,1953798
2023-01-31,3229.604526709037,3229.604526709037,3137.838436938818,3145.048583984375,2820375
2023-02-01,3149.074485541526,3201.5122408761454,3141.5833776365803,3191.539794921875,2205161
