Sector,Ticker,Model,RMSE,MAE,MAPE,R2,Directional_Accuracy
Technology,TCS.NS,BASELINE,116.86192420397855,100.1520989295811,3.314624078345099,-0.1328440508586206,54.074074074074076
Technology,TCS.NS,MSLSTM,60.0002153716742,44.141890729070305,1.4730627554657802,0.7013725808391947,45.18518518518518
Technology,TCS.NS,MSLSTMA,73.80892914022,55.05505583335383,1.8433386243594911,0.548100489225449,46.666666666666664
Technology,TCS.NS,ENSEMBLE,62.183410766853015,48.04760209291182,1.5877387813363477,0.6809003492718726,48.148148148148145
Technology,INFY.NS,BASELINE,45.207624069667446,34.14643123341859,2.250707305943474,0.6980163936641586,41.48148148148148
Technology,INFY.NS,MSLSTM,33.73485142515952,24.442864412390108,1.6197820381411403,0.8318419722593435,49.629629629629626
Technology,INFY.NS,MSLSTMA,33.24723930377164,25.214136160962237,1.6622107133739608,0.8366680375570446,47.40740740740741
Technology,INFY.NS,ENSEMBLE,30.582718955938056,23.44192664357411,1.5385960414876518,0.8626836511513302,56.2962962962963
Technology,WIPRO.NS,BASELINE,6.1657862479949515,4.891560206119988,2.0240558919319858,0.5689432198880202,48.148148148148145
Technology,WIPRO.NS,MSLSTM,5.808102273098599,4.482079047222,1.862549609278462,0.6175047368326444,51.85185185185185
Technology,WIPRO.NS,MSLSTMA,4.839533340208753,3.639283032336287,1.5219984793436292,0.734438860677602,50.37037037037037
Technology,WIPRO.NS,ENSEMBLE,4.9706796905244,3.993866284934201,1.638340434987761,0.7218813879734088,48.148148148148145
Technology,HCLTECH.NS,BASELINE,45.74405741093515,33.54796168497096,2.1944102117551285,0.79478397563922,51.85185185185185
Technology,HCLTECH.NS,MSLSTM,34.18084376637922,27.08629307215543,1.7664802586584636,0.8854203577021703,47.40740740740741
Technology,HCLTECH.NS,MSLSTMA,34.92724377247277,28.034523332086017,1.8373472462645302,0.8803616170763575,52.59259259259259
Technology,HCLTECH.NS,ENSEMBLE,32.805713949960214,26.245069677967365,1.680775851095448,0.8946175094461232,48.888888888888886
Technology,TECHM.NS,BASELINE,47.64679811478632,34.86163073155159,2.29045127398235,0.7322143516666509,52.59259259259259
Technology,TECHM.NS,MSLSTM,33.21138865216862,25.876008472246156,1.6725360175018102,0.8698950185007387,54.074074074074076
Technology,TECHM.NS,MSLSTMA,31.62998066811734,23.81588149900156,1.5536579268529394,0.8819902994390398,52.59259259259259
Technology,TECHM.NS,ENSEMBLE,32.73314648699398,25.978128549943648,1.6954309513527337,0.8739254847447596,57.77777777777777
Banking,HDFCBANK.NS,BASELINE,22.182801076247408,17.66239837737971,1.8307769767732236,0.2970703587164467,43.7037037037037
Banking,HDFCBANK.NS,MSLSTM,12.031066209121256,9.1633137178752,0.9495811733194461,0.7932300982768777,47.40740740740741
Banking,HDFCBANK.NS,MSLSTMA,12.8505575256456,11.046705049804174,1.131462883026663,0.7641026686201365,51.11111111111111
Banking,HDFCBANK.NS,ENSEMBLE,10.177621149349372,8.168528140598434,0.8355305178463848,0.8507986372644979,51.85185185185185
Banking,ICICIBANK.NS,BASELINE,28.56506470506247,21.74283637806101,1.5546590037581096,0.1544989673503232,45.925925925925924
Banking,ICICIBANK.NS,MSLSTM,35.18563376147626,28.768514427009656,2.0522226143813325,-0.28284585089320124,49.629629629629626
Banking,ICICIBANK.NS,MSLSTMA,24.622226389314314,19.936187418399268,1.4370492220262239,0.371799383474262,43.7037037037037
Banking,ICICIBANK.NS,ENSEMBLE,13.675581074393952,10.576333300486334,0.7612729144346996,0.7971227339065857,54.81481481481482
Banking,SBIN.NS,BASELINE,93.84766888695826,80.48697748036473,8.245281490127462,0.003220474645268534,54.074074074074076
Banking,SBIN.NS,MSLSTM,91.10981162268445,74.10457385383309,7.508023839938765,0.06053105855473595,52.59259259259259
Banking,SBIN.NS,MSLSTMA,48.978991443241505,36.87031909105972,3.7493296172446446,0.7284987673109264,54.81481481481482
Banking,SBIN.NS,ENSEMBLE,23.916595794355047,18.683401563826056,2.027294716072704,0.9348197444241906,45.18518518518518
Banking,KOTAKBANK.NS,BASELINE,13.54011484618741,10.946407349320921,2.617012790724884,0.21401923169992887,48.148148148148145
Banking,KOTAKBANK.NS,MSLSTM,11.311778165421057,9.143258941470886,2.21610974384368,0.45143387843298644,46.666666666666664
Banking,KOTAKBANK.NS,MSLSTMA,8.850982581603015,7.406943840337834,1.7938929213324457,0.6641462546550858,47.40740740740741
Banking,KOTAKBANK.NS,ENSEMBLE,5.697834610598704,4.472927633073633,1.073673862681029,0.8590310120637339,52.59259259259259
Banking,AXISBANK.NS,BASELINE,41.35617931967959,33.05689299518403,2.6558342560422394,0.7997404293393592,42.22222222222222
Banking,AXISBANK.NS,MSLSTM,22.55354915336251,16.981560962752216,1.3773484145881503,0.9404417058315697,44.44444444444444
Banking,AXISBANK.NS,MSLSTMA,26.599581205059042,19.996565444194562,1.6273331190543046,0.9171558094000454,45.18518518518518
Banking,AXISBANK.NS,ENSEMBLE,46.85532376473287,42.03862220762235,3.5365668907373644,0.7408182351603712,45.925925925925924
Pharmaceuticals,SUNPHARMA.NS,BASELINE,41.34263821317597,32.27839536150874,1.951425314101785,0.6410054661906999,45.925925925925924
Pharmaceuticals,SUNPHARMA.NS,MSLSTM,41.36865434032396,31.61021647369703,1.914360628251525,0.6405535073186461,45.925925925925924
Pharmaceuticals,SUNPHARMA.NS,MSLSTMA,39.00374764867934,29.41587292487555,1.7745775805429405,0.6804755192246416,48.148148148148145
